accuracy,object,coordx,coordy,coordz,coordw
0.00000000,11,590.01281738,245.00846863,600.89959717,268.44247437
0.63560903,11,606.01281738,236.00846863,639.89959717,271.44247437
0.90305793,11,631.61450195,230.3271637 ,674.85357666,275.51330566
0.97936887,11,637.84649658,228.06092834,679.42858887,271.22134399
0.99030471,11,642.01507568,225.62522888,684.61883545,272.19171143
0.98476219,11,645.5368042 ,224.3434906 ,691.66473389,273.05404663
0.98630655,11,655.57281494,220.88476562,703.47442627,271.40625   
0.99050641,11,659.71746826,219.7230072 ,710.72399902,273.59902954
0.9938975 ,11,666.05548096,218.90353394,716.11328125,270.74871826
0.98944044,11,672.2401123 ,217.77578735,721.62774658,270.15844727
0.99204975,11,677.12286377,215.22625732,728.96734619,272.89657593
0.99438113,11,705.05603027,212.28039551,762.80737305,271.76516724
0.98764098,11,710.76568604,208.94795227,772.08459473,272.29013062
0.99382663,11,718.35986328,209.41567993,779.19610596,273.1105957 
0.99793756,11,723.38378906,207.13583374,786.82110596,270.66012573
0.96814275,11,732.34289551,205.53025818,796.91760254,272.29507446
0.99381495,11,736.82818604,197.06874084,807.01135254,276.40100098
0.99818295,11,741.83453369,199.99334717,815.90856934,272.61825562
0.99673414,11,749.36071777,196.75495911,820.82415771,274.90444946
0.9904623 ,11,755.02178955,190.8359375 ,827.09112549,271.31936646
0.96817303,11,757.20196533,199.31040955,838.52429199,271.92446899
0.98733509,11,765.90924072,188.65638733,845.30731201,273.87619019
0.98357385,11,770.68255615,188.51799011,850.56677246,271.77096558
0.98857534,11,772.11517334,187.25364685,859.85003662,273.06643677
0.99353731,11,780.67510986,185.71884155,866.91986084,273.43670654
0.98909134,11,788.37548828,184.12593079,870.73370361,272.48403931
0.98455626,11,792.35540771,183.34248352,876.18048096,273.18255615
0.98926711,11,796.09771729,181.20874023,882.57995605,272.55041504
0.98610002,11,798.54229736,181.1085968 ,887.69818115,273.2220459 
0.99196315,11,801.91503906,178.52645874,889.27941895,271.96722412
0.9961251 ,11,809.19952393,179.81562805,895.43237305,270.66461182
0.98240227,11,813.83795166,180.76931763,900.20709229,269.11044312
0.99148244,11,813.52996826,178.08091736,908.3538208 ,272.97116089
0.99014276,11,816.86645508,177.91699219,911.82678223,273.69735718
0.98523486,11,826.80078125,176.89794922,920.04724121,273.98046875
0.99158245,11,827.79071045,176.85185242,925.11071777,273.12646484
0.99241161,11,831.08282471,175.48641968,925.43017578,272.1105957 
0.99115133,11,833.58776855,171.12727356,926.59857178,271.24069214
0.99276727,11,836.00970459,171.42407227,928.69586182,271.33206177
0.98326373,11,832.13153076,171.21864319,933.9118042 ,270.54229736
0.99416077,11,834.65527344,169.35203552,933.51715088,268.76675415
0.98623079,11,841.20782471,170.00205994,935.64929199,271.16500854
0.98550379,11,839.02624512,168.78471375,938.9821167 ,271.53759766
0.98842007,11,838.64605713,168.99127197,939.47674561,270.92227173
0.9894557 ,11,838.93127441,166.88771057,942.82293701,270.76351929
0.99241853,11,838.36083984,167.17282104,945.12866211,272.37094116
0.99287575,11,840.54827881,169.19476318,942.95306396,271.64367676
0.98790395,11,841.12921143,168.25610352,945.89929199,273.36758423
0.98679662,11,841.62414551,168.50205994,947.83868408,273.48248291
